name,init,mult,size_x,size_y,run_nr,time
TrueFalse128256,True,False,128,256,2,72.33
TrueTrue5121024,True,True,512,1024,8,72.26
TrueTrue256256,True,True,256,256,5,72.17
TrueFalse256256,True,False,256,256,2,72.32
TrueFalse512128,True,False,512,128,0,72.53
TrueFalse128128,True,False,128,128,11,71.73
TrueTrue6432,True,True,64,32,9,71.61
TrueTrue102464,True,True,1024,64,2,72.09
TrueTrue1024512,True,True,1024,512,0,72.12
TrueTrue256512,True,True,256,512,5,71.4
TrueTrue256128,True,True,256,128,4,71.62
TrueFalse1281024,True,False,128,1024,11,72.65
TrueTrue512512,True,True,512,512,4,71.45
TrueFalse10241024,True,False,1024,1024,10,72.37
TrueTrue128256,True,True,128,256,11,72.06
TrueFalse1281024,True,False,128,1024,2,72.49
FalseTrue25664,False,True,256,64,4,72.31
TrueTrue1281024,True,True,128,1024,10,72.05
FalseTrue5121024,False,True,512,1024,11,72.38
TrueTrue1281024,True,True,128,1024,2,72.53
TrueTrue128128,True,True,128,128,8,71.6
FalseTrue12864,False,True,128,64,0,72.02
FalseTrue128512,False,True,128,512,1,72.41
TrueTrue3216,True,True,32,16,7,73.93
FalseTrue1632,False,True,16,32,7,72.62
TrueFalse512128,True,False,512,128,11,71.51
FalseTrue256512,False,True,256,512,1,70.75
TrueFalse641024,True,False,64,1024,1,72.07
TrueTrue1024128,True,True,1024,128,3,72.09
TrueFalse64128,True,False,64,128,0,71.94
TrueFalse3264,True,False,32,64,5,71.95
FalseTrue5121024,False,True,512,1024,0,71.61
TrueFalse64512,True,False,64,512,0,72.53
TrueTrue64512,True,True,64,512,8,70.77
FalseTrue1024512,False,True,1024,512,2,72.33
TrueTrue256512,True,True,256,512,2,72.29
TrueFalse512512,True,False,512,512,9,71.99
TrueTrue512256,True,True,512,256,1,73.26
FalseTrue64256,False,True,64,256,2,72.29
TrueTrue5121024,True,True,512,1024,3,71.7
TrueFalse512256,True,False,512,256,0,72.38
TrueFalse3264,True,False,32,64,10,72.59
FalseTrue25664,False,True,256,64,5,73.31
FalseTrue1281024,False,True,128,1024,4,72.49
FalseTrue25664,False,True,256,64,9,71.62
FalseTrue5121024,False,True,512,1024,8,72.24
TrueFalse1024256,True,False,1024,256,2,72.58
TrueFalse512256,True,False,512,256,1,71.61
TrueTrue102464,True,True,1024,64,0,72.11
TrueFalse512512,True,False,512,512,11,72.23
FalseTrue256256,False,True,256,256,11,72.04
TrueFalse6416,True,False,64,16,7,72.62
FalseTrue102464,False,True,1024,64,1,72.81
FalseTrue1024512,False,True,1024,512,0,72.27
TrueFalse128128,True,False,128,128,6,71.97
FalseTrue51264,False,True,512,64,1,72.03
FalseFalseNoneNone,False,False,None,None,10,71.89
TrueTrue6464,True,True,64,64,6,72.14
TrueFalse25664,True,False,256,64,3,72.2
TrueFalse5121024,True,False,512,1024,0,71.73
TrueFalse1024128,True,False,1024,128,5,71.97
TrueTrue512128,True,True,512,128,6,72.6
TrueTrue256128,True,True,256,128,0,72.15
TrueTrue3232,True,True,32,32,6,72.44
FalseTrue64512,False,True,64,512,5,71.84
TrueTrue1024128,True,True,1024,128,7,72.19
TrueTrue102464,True,True,1024,64,3,72.71
TrueFalse5121024,True,False,512,1024,1,71.72
FalseTrue51264,False,True,512,64,6,72.5
TrueTrue1616,True,True,16,16,9,72.16
TrueTrue6416,True,True,64,16,8,71.78
TrueTrue1281024,True,True,128,1024,7,72.23
FalseTrue1616,False,True,16,16,6,71.73
TrueFalse1616,True,False,16,16,11,72.24
TrueFalse64512,True,False,64,512,10,72.7
TrueFalse64512,True,False,64,512,9,72.3
FalseTrue64256,False,True,64,256,8,71.33
TrueFalse5121024,True,False,512,1024,8,72.39
FalseTrue25664,False,True,256,64,2,71.66
TrueFalse256512,True,False,256,512,1,72.55
TrueTrue64128,True,True,64,128,9,72.09
TrueTrue6464,True,True,64,64,4,72.32
TrueFalse6464,True,False,64,64,7,72.78
TrueTrue2561024,True,True,256,1024,9,72.35
TrueTrue64512,True,True,64,512,9,72.3
TrueFalse64512,True,False,64,512,4,72.23
TrueTrue1664,True,True,16,64,6,72.1
FalseTrue3232,False,True,32,32,5,72.54
TrueFalse1024128,True,False,1024,128,11,72.21
TrueFalse128128,True,False,128,128,9,73.35
TrueFalse256128,True,False,256,128,10,72.4
TrueTrue256256,True,True,256,256,8,72.89
TrueTrue512128,True,True,512,128,7,72.03
FalseTrue6432,False,True,64,32,9,72.18
TrueTrue51264,True,True,512,64,7,71.58
TrueTrue51264,True,True,512,64,4,71.99
TrueTrue512256,True,True,512,256,8,72.11
TrueFalse64128,True,False,64,128,5,71.89
TrueFalse102464,True,False,1024,64,2,72.62
FalseTrue3216,False,True,32,16,11,72.36
TrueTrue1632,True,True,16,32,6,72.12
FalseTrue256128,False,True,256,128,9,72.32
TrueTrue1024256,True,True,1024,256,9,71.96
TrueFalse1664,True,False,16,64,7,72.28
TrueFalse64128,True,False,64,128,11,72.2
TrueTrue25664,True,True,256,64,11,72.17
TrueTrue256256,True,True,256,256,2,71.87
TrueFalse641024,True,False,64,1024,2,72.86
