Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     35.19     0.00        2     0.00     0.00  setpath
  0.00     35.19     0.00        2     0.00     0.00  setsignal
  0.00     35.19     0.00        2     0.00     0.00  test_then_block
  0.00     35.19     0.00        1     0.00     0.00  atomic2gen
  0.00     35.19     0.00        1     0.00     0.00  checkmode
  0.00     35.19     0.00        1     0.00     0.00  closepaux
  0.00     35.19     0.00        1     0.00     0.00  docall
  0.00     35.19     0.00        1     0.00     0.00  entergen
  0.00     35.19     0.00        1     0.00     0.00  f_luaopen
  0.00     35.19     0.00        1     0.00     0.01  f_parser
  0.00     35.19     0.00        1     0.00     0.00  gctm
  0.00     35.19     0.00        1     0.00     0.00  luaC_barrierback_
  0.00     35.19     0.00        1     0.00     0.00  luaC_changemode
  0.00     35.19     0.00        1     0.00    23.36  luaC_freeallobjects
  0.00     35.19     0.00        1     0.00     5.83  luaD_closeprotected
  0.00     35.19     0.00        1     0.00     0.00  luaD_protectedparser
  0.00     35.19     0.00        1     0.00     0.00  luaE_freeCI
  0.00     35.19     0.00        1     0.00     0.00  luaF_close
  0.00     35.19     0.00        1     0.00     0.00  luaK_nil
  0.00     35.19     0.00        1     0.00     0.00  luaL_loadfilex
  0.00     35.19     0.00        1     0.00     0.00  luaL_newmetatable
  0.00     35.19     0.00        1     0.00     0.00  luaL_openlibs
  0.00     35.19     0.00        1     0.00     0.00  luaS_hash
  0.00     35.19     0.00        1     0.00     0.00  luaS_init
  0.00     35.19     0.00        1     0.00     0.00  luaS_resize
  0.00     35.19     0.00        1     0.00     0.00  luaT_init
  0.00     35.19     0.00        1     0.00     0.00  luaX_init
  0.00     35.19     0.00        1     0.00     0.00  luaX_setinput
  0.00     35.19     0.00        1     0.00     0.01  luaY_parser
  0.00     35.19     0.00        1     0.00     0.00  luaZ_init
  0.00     35.19     0.00        1     0.00     0.00  lua_atpanic
  0.00     35.19     0.00        1     0.00     0.00  lua_getglobal
  0.00     35.19     0.00        1     0.00     0.00  lua_load
  0.00     35.19     0.00        1     0.00     5.83  lua_newstate
  0.00     35.19     0.00        1     0.00     0.00  lua_pcallk
  0.00     35.19     0.00        1     0.00     0.00  lua_setwarnf
  0.00     35.19     0.00        1     0.00     0.00  luaopen_base
  0.00     35.19     0.00        1     0.00     0.00  luaopen_coroutine
  0.00     35.19     0.00        1     0.00     0.00  luaopen_debug
  0.00     35.19     0.00        1     0.00     0.00  luaopen_io
  0.00     35.19     0.00        1     0.00     0.00  luaopen_math
  0.00     35.19     0.00        1     0.00     0.00  luaopen_os
  0.00     35.19     0.00        1     0.00     0.02  luaopen_package
  0.00     35.19     0.00        1     0.00     0.00  luaopen_string
  0.00     35.19     0.00        1     0.00     0.00  luaopen_table
  0.00     35.19     0.00        1     0.00     0.00  luaopen_utf8
  0.00     35.19     0.00        1     0.00     0.01  pmain
  0.00     35.19     0.00        1     0.00     0.00  setseed
  0.00     35.19     0.00        1     0.00     0.00  singlestep
  0.00     35.19     0.00        1     0.00     0.00  skipcomment
